pattern,normalized
*.CrYo.TeOnS,.CrYo.TeOnS
*.cryp,.cryp
*.cryp1,.cryp1
*.cryp70n1c,.cryp70n1c
*.CrypBits256PT2,.CrypBits256PT2
*.CrypMic,.CrypMic
*.crypo,.crypo
*.Crypren,.Crypren
*.crypt,.crypt
*_crypt,_crypt
*.crypt-*,.crypt-
*.Crypt0,.Crypt0
*.Crypt0L0cker,.Crypt0L0cker
*.Crypt0r,.Crypt0r
*.crypt1,.crypt1
*.crypt12,.crypt12
*.crypt14,.crypt14
*.crypt2019,.crypt2019
*.crypt38,.crypt38
*.crypt888,.crypt888
*.crYptA3,.crYptA3
*.CRYPTBD,.CRYPTBD
*.cryptbit,.cryptbit
*.CryptConsole,.CryptConsole
*.CryptConsole3,.CryptConsole3
*.cryptdata,.cryptdata
*.crypte,.crypte
*._crypted,._crypted
*.crypted,.crypted
*.crypted000007,.crypted000007
*.crypted034,.crypted034
*.crypted_bizarrio@pay4me_in,.crypted_bizarrio@pay4me_in
*.crypted_doebnank@*,.crypted_doebnank@
*.crypted_file,.crypted_file
*.CryptedOpps,.CryptedOpps
*.CRYPTEDPAY,.CRYPTEDPAY
*.crypted_pony_test_build*,.crypted_pony_test_build
*.cryptedx,.cryptedx
*.crypter,.crypter
*.crypterdodo,.crypterdodo
*.cryptes,.cryptes
*.cryptevex,.cryptevex
*.crYptF,.crYptF
*.cryptfile,.cryptfile
*.CryptFuck,.CryptFuck
*.cryptgh0st,.cryptgh0st
*.crypticsociety,.crypticsociety
*.CryptInfinite,.CryptInfinite
*.crypto,.crypto
*.crypto1317,.crypto1317
*.crypto24,.crypto24
*.cryptoboss,.cryptoboss
*.cryptobyte,.cryptobyte
*.crypto_crypt,.crypto_crypt
*.cryptodarkrubix,.cryptodarkrubix
*.CryptoDefense,.CryptoDefense
*.CryptoDevil,.CryptoDevil
*.CryptoFinancial,.CryptoFinancial
*.CryptoFortress,.CryptoFortress
*.CryptoGod,.CryptoGod
*.CryptoHasYou,.CryptoHasYou
*.CryptoHitman,.CryptoHitman
*.cryptoid,.cryptoid
CRYPTOID_*,CRYPTOID_
*.CryptoJacky,.CryptoJacky
*.cryptojoker,.cryptojoker
*.cryptolocker,.cryptolocker
cryptolocker.*,cryptolocker.
*.CryptoLocker3,.CryptoLocker3
*.CryptoLockerEU,.CryptoLockerEU
*.CryptoLocky,.CryptoLocky
*.CryptoLuck,.CryptoLuck
*.CryptoMix,.CryptoMix
*.crypton,.crypton
*.cryptoNar,.cryptoNar
*.cryptoncrypt,.cryptoncrypt
*.cryptooo,.cryptooo
*.CryptoPatronum,.CryptoPatronum
*.cryptopokemon,.cryptopokemon
*.CryptorBit,.CryptorBit
*.CryptoRoger,.CryptoRoger
*.CRYPTOSHIELD,.CRYPTOSHIELD
*.CryptoShocker,.CryptoShocker
*.cryptotorlocker*,.cryptotorlocker
*.CryptoViki,.CryptoViki
*.cryptowall,.cryptowall
*.cryptowin,.cryptowin
*.CryptoWire,.CryptoWire
*.CryptPethya,.CryptPethya
*.CRYPTR,.CRYPTR
*.crypttt,.crypttt
*.cryptwalker,.cryptwalker
*.cryptx*,.cryptx
*.CryptXXX,.CryptXXX
*.cryptz,.cryptz
*.CryPy,.CryPy
*.crypz,.crypz
*.CrySiS,.CrySiS
*.CrySpheRe,.CrySpheRe
*.Crystal,.Crystal
*.cryt0y,.cryt0y
*.CRYZP,.CRYZP
*.cs16,.cs16
*.csp,.csp
*.cspider,.cspider
*.CTB2,.CTB2
*.CTB-Faker,.CTB-Faker
*.ctbl,.ctbl
*.CTBL2,.CTBL2
*.CTB-Locker,.CTB-Locker
*.ctpl,.ctpl
*.ctrlalt*,.ctrlalt
*.cuag,.cuag
*.cuba,.cuba
*.cube,.cube
*.Cukiesi,.Cukiesi
*.culex,.culex
*.cum,.cum
*.CURATOR,.CURATOR
*.cursoDFIR,.cursoDFIR
*.curumim,.curumim
*.cvc,.cvc
*.cve,.cve
*.cvenc,.cvenc
*.c-vir,.c-vir
*.cxk,.cxk
*.cxkdata,.cxkdata
*.cxk_nmsl,.cxk_nmsl
*.CXK-NMSL,.CXK-NMSL
*.CY3,.CY3
*@cyberfear.com,@cyberfear.com
*.cyb,.cyb
*.Cyb3rDrag0nz,.Cyb3rDrag0nz
*.cyber,.cyber
*.Cyber_Puffin,.Cyber_Puffin
*.cyberdrill,.cyberdrill
*.cybergod,.cybergod
*.cyberhazard,.cyberhazard
*.CyberSCCP,.CyberSCCP
*.CyberSoldiersST,.CyberSoldiersST
*.cybertron18,.cybertron18
*.CyberVolk_BlackEye,.CyberVolk_BlackEye
*.cyborg,.cyborg
*.cyclone,.cyclone
*.cymcrypt,.cymcrypt
*.cyn,.cyn
*.cypher,.cypher
*.cyrat,.cyrat
*.cyron,.cyron
*.Czlock,.Czlock
*.czvxce,.czvxce
*.D00med,.D00med
*.d0n,.d0n
*.d0nut,.d0nut
*.D2550A49BF52DFC23F2C013C5,.D2550A49BF52DFC23F2C013C5
*.d3ad,.d3ad
*d3ad_Help.*,d3ad_Help.
*.d3g1d5,.d3g1d5
*.d4nk,.d4nk
*.da_vinci_code,.da_vinci_code
*.daaefc,.daaefc
*.Dablio,.Dablio
*.daddycrypt,.daddycrypt
*.daibang,.daibang
*.DALE,.DALE
*.dalle,.dalle
*.damacrypt,.damacrypt
*.damage,.damage
*.damoclis,.damoclis
*.dance,.dance
*.dan@cock.email,.dan@cock.email
*.danger,.danger
*.DangerSiker,.DangerSiker
*.dapo,.dapo
*.daris,.daris
*.darj,.darj
*.dark*,.dark
*.Darkbit,.Darkbit
*.DARKCRY,.DARKCRY
*.darkdev,.darkdev
*.darkeye,.darkeye
*.darkhack,.darkhack
*.darkmystic,.darkmystic
*.darkness,.darkness
*.DarkoderCryptor,.DarkoderCryptor
*.DarkRuss_CyberVolk,.DarkRuss_CyberVolk
*.DARKSET,.DARKSET
*.Dart,.Dart
*.darus,.darus
*.darz,.darz
*.data,.data
*.data3,.data3
*.Datablack,.Datablack
*.dataf,.dataf
*.datah,.datah
*.DataKeeper,.DataKeeper
*.dataleak*,.dataleak
*.Datalock,.Datalock
*.datarip,.datarip
*.datastop,.datastop
*.datawait,.datawait
*.datun,.datun
*.davda,.davda
*.DavesSmith,.DavesSmith
*.david,.david
*.Daz,.Daz
*.dazx,.dazx
*.dbger,.dbger
*.dc,.dc
*.dcom,.dcom
*.dcrtr,.dcrtr
*.dcry,.dcry
*.dCrypt,.dCrypt
*.dd,.dd
*.ddos,.ddos
*.ddpcbi,.ddpcbi
*.ddsg,.ddsg
*.deadbolt,.deadbolt
*.deadfiles,.deadfiles
*.Deadly,.Deadly
*.deadmin,.deadmin
*.deadnet26,.deadnet26
*.deal,.deal
*.dealemail,.dealemail
*.DeathGrip,.DeathGrip
*.DeathHiddenTear,.DeathHiddenTear
*.DeathNote,.DeathNote
*.Death_of_Shadow,.Death_of_Shadow
*.DeathRansom,.DeathRansom
*.debal,.debal
*.dec,.dec
*.decc,.decc
*decipher*,decipher
*.decodeme666@tutanota_com,.decodeme666@tutanota_com
*.decodeme666tutanota_com,.decodeme666tutanota_com
*.decp,.decp
*.decrypme,.decrypme
*.decrypt,.decrypt
*.@decrypt_2017,.@decrypt_2017
*.@decrypt2017,.@decrypt2017
*.decrypt2017,.decrypt2017
*.decrypter@tutanota.com,.decrypter@tutanota.com
*.decryptgarranty,.decryptgarranty
*.DecryptIomega,.DecryptIomega
*.decryptional,.decryptional
*.DecYourData,.DecYourData
*.ded,.ded
*.DEDCryptor,.DEDCryptor
*.dedo,.dedo
*.deep,.deep
*.Deeep,.Deeep
*.deepindeep,.deepindeep
*.defender,.defender
*.defi1328,.defi1328
*.Defray,.Defray
*.Defray777,.Defray777
*.dehd,.dehd
*.*-DELETED-FOREVER,.-DELETED-FOREVER
*.delta,.delta
*.democ,.democ
*.demon,.demon
*.Deniz_kizi,.Deniz_kizi
*.deno,.deno
*.deria,.deria
*.DeriaLock,.DeriaLock
*.DeroHE,.DeroHE
*.derp,.derp
*.@derpymailorg,.@derpymailorg
*.DERZKO,.DERZKO
DesktopOsiris.*,DesktopOsiris.
*.desolated,.desolated
*.destroy.executioner,.destroy.executioner
*.destroy30,.destroy30
*.destroyer,.destroyer
*.desu,.desu
*.desucrpt,.desucrpt
*.desync,.desync
*.deuce,.deuce
*.deus,.deus
*.deuscrypt,.deuscrypt
*.dev,.dev
*.dever,.dever
*.devil,.devil
*.devinn,.devinn
*.devman21,.devman21
*.devon,.devon
*.devos,.devos
*.devoscpu,.devoscpu
*.dewar,.dewar
*.dewd,.dewd
*.dex,.dex
*.dexter,.dexter
*.dexx,.dexx
*.dfjhsalfhsakljfhsljkahfdjklashfdjklh,.dfjhsalfhsakljfhsljkahfdjklashfdjklh
*.dfwe,.dfwe
*.DG,.DG
*.dglnl,.dglnl
*.dharma,.dharma
*.DHDR4,.DHDR4
*.Dhlp,.Dhlp
*.diablo6,.diablo6
*.DIAMOND,.DIAMOND
*.dian,.dian
*.dice,.dice
*.die,.die
*.Digisom,.Digisom
*.diller13,.diller13
*.DilmaLocker,.DilmaLocker
*.__dilmaV1,.__dilmaV1
*.direwolf,.direwolf
*.dirk,.dirk
*.DirtyDecrypt,.DirtyDecrypt
*.disappeared,.disappeared
*.Dishwasher,.Dishwasher
*.DiskDoctor,.DiskDoctor
*.dispf*osed2017,.dispfosed2017
*.disposed2017,.disposed2017
*@disroot.org*,@disroot.org
*.District,.District
*.divine,.divine
*.divinity,.divinity
*.djang0unchain3d,.djang0unchain3d
*.djuvq,.djuvq
*.djvu,.djvu
*.djvup,.djvup
*.djvuq,.djvuq
*.djvur,.djvur
*.djvus,.djvus
*.djvut,.djvut
*.djvuu,.djvuu
*.dkey,.dkey
*.dkq,.dkq
*.dkrf,.dkrf
*.dlenggrl,.dlenggrl
*.dlock,.dlock
*.dmay,.dmay
*.dme,.dme
*.dmo,.dmo
*.DMR,.DMR
*.dmr64,.dmr64
*.doctorhelp,.doctorhelp
*.dodged,.dodged
*.dodger,.dodger
*.dodoc,.dodoc
*.dodov2,.dodov2
*.dogecrypt,.dogecrypt
*.DoggeWiper,.DoggeWiper
*.dohfzdod,.dohfzdod
*.dolphin,.dolphin
*.domination,.domination
*.domino,.domino
*.domn,.domn
*.Done,.Done
*.DONKEYHOT,.DONKEYHOT
*.DoNotChange,.DoNotChange
*.donut,.donut
*.DOOK,.DOOK
*.doomed,.doomed
*.dop,.dop
*.doples,.doples
*.DoppelPaymer,.DoppelPaymer
*.doppled,.doppled
*.DORRA,.DORRA
*.dotmap,.dotmap
*.DoubleLocker,.DoubleLocker
*.doubleoffset,.doubleoffset
*.Down_With_Usa,.Down_With_Usa
*.Doxes,.Doxes
*.doyuk,.doyuk
*.doyuk2,.doyuk2
*.dqb,.dqb
*.dqws,.dqws
*.DQXOO,.DQXOO
*.dragnea,.dragnea
*.dragonforce_encrypted,.dragonforce_encrypted
*.DRCRM,.DRCRM
*@D0glun@*,@D0glun@
*@dr.com,@dr.com
*@dr.com.gr3g,@dr.com.gr3g
*.dream,.dream
*.DriedSister,.DriedSister
*.drik,.drik
*.drlk,.drlk
*.Drop,.Drop
*.droprapid,.droprapid
*.drume,.drume
*.drweb,.drweb
*.DryCry,.DryCry
*.DS335,.DS335
*.dsec,.dsec
*.dst,.dst
*.dtbc,.dtbc
*.DTS,.DTS
*.duckryptor,.duckryptor
*.ducky,.ducky
*.ducueyuav,.ducueyuav
*.duhust,.duhust
*.duk,.duk
*.DumbStackz,.DumbStackz
*.dungeon-0_0,.dungeon-0_0
*.duralock05,.duralock05
*.dusk,.dusk
*.dutan,.dutan
*.dviide,.dviide
*.dvpn,.dvpn
*.dwbiwty,.dwbiwty
*.dwmapi,.dwmapi
*.dwqs,.dwqs
*.dx31,.dx31
*.dxen,.dxen
*.dxjay,.dxjay
*.dxxd,.dxxd
*.dy8wud,.dy8wud
*.dyaaghemy,.dyaaghemy
*.DynA-Crypt,.DynA-Crypt
*.dzen,.dzen
*.e4m,.e4m
*.eaaeee,.eaaeee
*.eaf,.eaf
*.EAFE,.EAFE
*.EAIJTP,.EAIJTP
*.easy2lock,.easy2lock
*.easyransom,.easyransom
*.Ebaka,.Ebaka
*.ebal,.ebal
*.ebay,.ebay
*.eBayWall,.eBayWall
*.ebola,.ebola
*.EByteLocker,.EByteLocker
*.ecc,.ecc
*.eCh0raix,.eCh0raix
*.eclr,.eclr
*.eclr*,.eclr
*.ecrp,.ecrp
*.ecure,.ecure
*.eddldzor,.eddldzor
*.edgel,.edgel
*.EdgeLocker,.EdgeLocker
*.EDHST,.EDHST
*.EduCrypt,.EduCrypt
*.eduransom,.eduransom
*.edw,.edw
*.eebn,.eebn
*.eefg,.eefg
*.eegf,.eegf
*.eemv,.eemv
*.eewt,.eewt
*.eeyu,.eeyu
*.efdc,.efdc
*.efji,.efji
*.efvc,.efvc
*.eg,.eg
*.EG83,.EG83
*.egfg,.egfg
*.egg,.egg
*.EggLocker,.EggLocker
*.Egh9E,.Egh9E
*.egmwv,.egmwv
*.egmwvm,.egmwvm
*.egregor,.egregor
*.Ehehehx12,.Ehehehx12
*.ehiz,.ehiz
*.ehre,.ehre
*.eight,.eight
*.eijy,.eijy
*.eimmigration,.eimmigration
*.eiur,.eiur
*.eject,.eject
*.ekans,.ekans
*.eking,.eking
*.ekvf,.ekvf
*.eky,.eky
*.Elbie,.Elbie
*.ELBOW,.ELBOW
*.ELCTRONIC,.ELCTRONIC
*.ELDAOLSA,.ELDAOLSA
*.Elder,.Elder
*.eldritch,.eldritch
*.elibe,.elibe
*.ELITTE87,.ELITTE87
*.ELONMUSKISGREEDY*,.ELONMUSKISGREEDY
*.Elons,.Elons
*.ELPACO-team,.ELPACO-team
*.elpvd,.elpvd
*.elpy,.elpy
*.Elvis,.Elvis
*.elvispresley,.elvispresley
*.EMAN,.EMAN
*.eman50,.eman50
*.emario,.emario
*.embrace,.embrace
*.emc,.emc
*.emilisub,.emilisub
*.emilysupp,.emilysupp
*.emp,.emp
*.EMPEROR,.EMPEROR
*.EMPg296LCK,.EMPg296LCK
*.empty,.empty
*.emsisosisoft,.emsisosisoft
(enc)*,(enc)
*._enc,._enc
*.enc,.enc
*.Enc1,.Enc1
*.encedRSA,.encedRSA
*.encencenc,.encencenc
*.encfiles,.encfiles
*.enciphered,.enciphered
*.encmywork,.encmywork
*.ENCODED,.ENCODED
*.encoded01,.encoded01
*.encoded_pl,.encoded_pl
*.encoderpass,.encoderpass
*.encr,.encr
*.enc_robbinhood,.enc_robbinhood
*.encryp,.encryp
*.encrpt3d,.encrpt3d
*.encrptd,.encrptd
*.ENCRT,.ENCRT
*.EnCryp13d,.EnCryp13d
*.encrypt,.encrypt
*.encryptd,.encryptd
*._encrypted,._encrypted
*.encrypted,.encrypted
*.encrypted*,.encrypted
*.encrypted5,.encrypted5
*.encryptedAES,.encryptedAES
*.encryptedALL,.encryptedALL
*.encrypted_backup,.encrypted_backup
*.EncryptedBatch,.EncryptedBatch
*.encryptedbybb,.encryptedbybb
*.encryptedbybert,.encryptedbybert
*.encryptedJB,.encryptedJB
*.encryptedl,.encryptedl
*.encryptedped,.encryptedped
*.encryptedQjbQpkgd.sett4545,.encryptedQjbQpkgd.sett4545
*.encrypted_rsa,.encrypted_rsa
*.encryptedRSA,.encryptedRSA
*.encrypteds,.encrypteds
*.encryptedyourfiles,.encryptedyourfiles
*.EncrypTile,.EncrypTile
*.Encrypto,.Encrypto
*.EncryptoJJS,.EncryptoJJS
*.encS,.encS
*ENCx45cR*,ENCx45cR
*.end11,.end11
*.endpoint,.endpoint
*.enfp,.enfp
*.enigma,.enigma
*.enjey,.enjey
*.EnkripsiPC,.EnkripsiPC
*.Enter,.Enter
*.EnyBenied,.EnyBenied
*.eoeo,.eoeo
*.eofyd,.eofyd
*.epic,.epic
*.Epoblockl,.Epoblockl
*.epor,.epor
*.epsilonred,.epsilonred
*.eqew,.eqew
*.eQTz,.eQTz
*.eqza,.eqza
*.Erebus,.Erebus
*.erenahen,.erenahen
*.Erica,.Erica
*.erif,.erif
*.eris,.eris
*.erop,.erop
*.erqw,.erqw
*.error,.error
*.errz,.errz
*.ert,.ert
*.ESCAL*,.ESCAL
*.escanor,.escanor
*.escovinda,.escovinda
*.esexz,.esexz
*.ES_HELPs,.ES_HELPs
*.eslock,.eslock
*.Estemani,.Estemani
*.Eternal,.Eternal
*.eTeRnItY,.eTeRnItY
*.eth,.eth
*.ethan,.ethan
*.etols,.etols
*.ety,.ety
*.eu,.eu
*.euclid,.euclid
*.eucy,.eucy
*.eur,.eur
*.EV,.EV
*.eV3rbe,.eV3rbe
*.ever101,.ever101
*.everbe,.everbe
*.everest,.everest
*.evil,.evil
*.evillock,.evillock
*.evolution,.evolution
*.evopro,.evopro
*.ewdf,.ewdf
*.excuses,.excuses
*.executioner,.executioner
*.ExecutionerPlus,.ExecutionerPlus
*.exilenceTG,.exilenceTG
*.EXISC,.EXISC
*.exitium,.exitium
*.exo,.exo
*.Exocrypt,.Exocrypt
*.exolocked,.exolocked
*.exotic,.exotic
*.expboot,.expboot
*.exploit,.exploit
*.exploit6,.exploit6
*.explorer,.explorer
*.EXTE,.EXTE
*.EXTEN,.EXTEN
*.Extortion,.Extortion
*.Extractor,.Extractor
*.exx,.exx
*.eye,.eye
*.eyrv,.eyrv
*.EzByZZART3XX,.EzByZZART3XX
*.ezdz,.ezdz
*.ezz,.ezz
*.ezzyl,.ezzyl
*.f41o1,.f41o1
*.Fabiansomware,.Fabiansomware
*.facebook,.facebook
*.factfull,.factfull
*.Fadesoft,.Fadesoft
*.FailedAccess,.FailedAccess
*.fair,.fair
*.fairytail,.fairytail
*.fairytale,.fairytale
*.fake,.fake
*.FancyLeaks,.FancyLeaks
*.fantom,.fantom
*.fappy,.fappy
*.farattack,.farattack
*.FARGO,.FARGO
*.FartingGiraffeAttacks,.FartingGiraffeAttacks
*.fartplz,.fartplz
*.fast,.fast
*.fastbackdata,.fastbackdata
*.FASTBOB,.FASTBOB
*.fastwind,.fastwind
*.fat32,.fat32
*.fate,.fate
*.fatp,.fatp
*.faust,.faust
*.fbi,.fbi
*.fbin,.fbin
*.FBIRAS,.FBIRAS
*.FBSYW,.FBSYW
*.fbuvkngy,.fbuvkngy
*.fc,.fc
*.fcfceee,.fcfceee
*.f*cked,.fcked
*.FCP,.FCP
*.fcrypt,.fcrypt
*.FCT,.FCT
*.fdcv,.fdcv
*.fdcz,.fdcz
*.fdfk,.fdfk
*.FDFK22,.FDFK22
*.fear,.fear
*.fedasot,.fedasot
*.FEEDC,.FEEDC
*.fefg,.fefg
*.felix,.felix
*.FenixIloveyou!!,.FenixIloveyou!!
*.FenixLocker,.FenixLocker
*.Fenrir,.Fenrir
*.ferosas,.ferosas
*.FEROSUS,.FEROSUS
*.fezmm,.fezmm
*.fff,.fff
*.FG69,.FG69
*.fgnh,.fgnh
*.fgui,.fgui
*.fhkf,.fhkf
*.FIASKO,.FIASKO
*.file,.file
*.file0locked,.file0locked
*.FileEncrypted,.FileEncrypted
*.filegofprencrp,.filegofprencrp
*.fileiscryptedhard,.fileiscryptedhard
*.filerec,.filerec
*files_are_encrypted.*,files_are_encrypted.
*.filesencrypted,.filesencrypted
*.filesfucked,.filesfucked
*.fileslack,.fileslack
*.FilesLocker,.FilesLocker
*.fileslocker@pm.me*,.fileslocker@pm.me
*.FilGZmsp,.FilGZmsp
*.filock,.filock
*.find,.find
*.find5,.find5
*.FinD0m,.FinD0m
*.FindZip,.FindZip
*.FIOI,.FIOI
*.fire,.fire
*.firecrypt,.firecrypt
*.firex3m,.firex3m
*.firmabilgileri,.firmabilgileri
*.FirstKill,.FirstKill
*.fisakalzb,.fisakalzb
*.fix,.fix
*.FIXED,.FIXED
*.fixt,.fixt
*.FJ7QvaR9VUmi,.FJ7QvaR9VUmi
*.FLAMINGO,.FLAMINGO
*.flash*,.flash
*.flat,.flat
*.Flatcher3,.Flatcher3
*.FLKR,.FLKR
*.flowencryption,.flowencryption
*.FLSCrypt,.FLSCrypt
*.Flux,.Flux
*.flyper,.flyper
*.FLYU,.FLYU
*.fmfgmfgm,.fmfgmfgm
*.fmk-ta3-7ym,.fmk-ta3-7ym
*.fmoon,.fmoon
*.fofd,.fofd
*.fonix,.fonix
*.foop,.foop
*.fopa,.fopa
*.fopra*,.fopra
*.foqe,.foqe
*.for,.for
*.forasom,.forasom
*.FORCE,.FORCE
*.forcelock,.forcelock
*.fordan,.fordan
*.forgive,.forgive
*.format,.format
*.foty,.foty
*.four,.four
*.fox,.fox
*.foxtrot70,.foxtrot70
*.foxxy,.foxxy
*.foza,.foza
*.frag,.frag
*.frea,.frea
*.fredd,.fredd
*.freefoam,.freefoam
*.FreeMe,.FreeMe
*.FreeWorldEncryption,.FreeWorldEncryption
*.freezing,.freezing
*.frend,.frend
*.frendi,.frendi
*.frenesis,.frenesis
*.fresh,.fresh
*.Frivinho*,.Frivinho
*.Frivolity,.Frivolity
*.frm,.frm
*.frmvrlr2017,.frmvrlr2017
*.frog,.frog
*.FrozrLock,.FrozrLock
*.frs,.frs
*.frtrss,.frtrss
*.fs0ciety,.fs0ciety
*.fsdfsdfsdfsdfsdfsfdsfs,.fsdfsdfsdfsdfsdfsfdsfs
*.fsociety,.fsociety
*.fsvlf4,.fsvlf4
*.ftcode,.ftcode
*.fuchsia,.fuchsia
*.fuck,.fuck
*.fuckandrun,.fuckandrun
*.fucked,.fucked
*.FuckedByGhost,.FuckedByGhost
*.fuckfbi,.fuckfbi
*.fucking,.fucking
*.FuckSociety,.FuckSociety
*.fucku,.fucku
*.fuckunicorn*,.fuckunicorn
*.fuckunicornhtrhrtjrj,.fuckunicornhtrhrtjrj
*.fuckunicornhtrhrtjrjy,.fuckunicornhtrhrtjrjy
*.Fuck_You,.Fuck_You
*.fuck_you_av_we_are_not_globe_fake,.fuck_you_av_we_are_not_globe_fake
*.fuckyourdata,.fuckyourdata
*.fun,.fun
*.FunFact,.FunFact
*.funksec,.funksec
*.funny,.funny
*.FUSION,.FUSION
*.futm,.futm
*.fuXcF,.fuXcF
*.FuxSocy,.FuxSocy
*.fX,.fX
*.fxlocker,.fxlocker
*.fxs,.fxs
*.G-Stars,.G-Stars
*.g0h8iwj,.g0h8iwj
*.g8R4rqWIp9,.g8R4rqWIp9
*.G8xB,.G8xB
*.GAGAKICK,.GAGAKICK
*.gagup,.gagup
*.Galacti-Crypter,.Galacti-Crypter
*.game,.game
*.GameCrypt,.GameCrypt
*.gamma,.gamma
*.GandCrab,.GandCrab
*.GandCrab2,.GandCrab2
*.gangbang,.gangbang
*.gankLocked,.gankLocked
*.GanP,.GanP
*.gapo,.gapo
*.gaqq,.gaqq
*.gaqtfpr,.gaqtfpr
*.garantydecrypt,.garantydecrypt
*.garcewa,.garcewa
*.garminwasted,.garminwasted
*.garrantydecrypt,.garrantydecrypt
*.gash,.gash
*.gate,.gate
*.gatq,.gatq
*.gatz,.gatz
*.gayn,.gayn
*.gaze,.gaze
*.gazp,.gazp
*.gblock,.gblock
*.GC47,.GC47
*.gcyi,.gcyi
*.gdb,.gdb
*.gdcb,.gdcb
*.gdpr,.gdpr
*.gdwill,.gdwill
*.ge010gic,.ge010gic
*.ge0l0gic,.ge0l0gic
*.gefest,.gefest
*.Gefest3,.Gefest3
*.gefickt,.gefickt
*.gehad,.gehad
*.gehenna,.gehenna
*.gembok,.gembok
*.geminis3,.geminis3
*.GEnc,.GEnc
*.genesis15,.genesis15
*.gengar,.gengar
*.geno,.geno
*.geometrical,.geometrical
*.Gerber,.Gerber
*.gerber5,.gerber5
*.GermanWiper,.GermanWiper
*.gero,.gero
*.gerosan,.gerosan
*.gesd,.gesd
*.get,.get
*.GetAnAntivirus,.GetAnAntivirus
*.GetCrypt,.GetCrypt
*.getrekt,.getrekt
*.GFS,.GFS
*.GFYPK,.GFYPK
*.GG,.GG
*.ggeo,.ggeo
*.ggew,.ggew
*.GGGHJMNGFD,.GGGHJMNGFD
*.ggwq,.ggwq
*.ggyu,.ggyu
*.ghas,.ghas
*.ghost,.ghost
*.GhostCrypt,.GhostCrypt
*.GhostHacker,.GhostHacker
*.GhostHammer,.GhostHammer
*.ghsd,.ghsd
*.Gibberish,.Gibberish
*.Gibon,.Gibon
*.gigahertz,.gigahertz
*.Gilfillan,.Gilfillan
*.gillette,.gillette
*.givemenitro,.givemenitro
*.GKICKG,.GKICKG
*.*GLADIUS,.GLADIUS
*.GLB,.GLB
*.glkm,.glkm
*.globe,.globe
*.Globe3,.Globe3
*.Globeimposter*,.Globeimposter
*.GlobeImposter,.GlobeImposter
*.Globeimposter-Alpha865qqz,.Globeimposter-Alpha865qqz
*.GlobeimposterAlpha865qqz,.GlobeimposterAlpha865qqz
*.glock,.glock
*.GlUtEzOn.VaNoLe,.GlUtEzOn.VaNoLe
*.glutton,.glutton
*@gmail.com,@gmail.com
*.gman,.gman
*.gmbn,.gmbn
*.gmn3,.gmn3
*.gmpf,.gmpf
*@gmx.de*,@gmx.de
*.gnik,.gnik
*.gnncry,.gnncry
*.gns,.gns
*.gnsyihong,.gnsyihong
*.goaq,.goaq
*.goba,.goba
*.gocr,.gocr
*.god,.god
*.godes,.godes
*.godlock,.godlock
*.godra,.godra
*.goforhelp,.goforhelp
*.GOGO,.GOGO
*.GoGoogle,.GoGoogle
*.gold,.gold
*.Golden,.Golden
*.GoldenEye,.GoldenEye
*.Gomasom,.Gomasom
*.gomer,.gomer
*.gommemode,.gommemode
*.GoNNaCry,.GoNNaCry
*.gonzofortuna,.gonzofortuna
*.good,.good
*.goodgir,.goodgir
*.GoodMorning,.GoodMorning
*.goofed,.goofed
*.googl,.googl
*.google,.google
*.gopher,.gopher
*.GoRansom,.GoRansom
*.gore,.gore
*.Gorgon,.Gorgon
*.GORILLA,.GORILLA
*.gosw,.gosw
*.Got,.Got
*.gotcha,.gotcha
*.GOTHAM,.GOTHAM
*.GoTiS,.GoTiS
*.gotmydatafast,.gotmydatafast
*.GOTYA,.GOTYA
*.govcrypt,.govcrypt
*.GPAA,.GPAA
*.GPCode,.GPCode
*.GPGQwerty,.GPGQwerty
*.GPT,.GPT
*.gqlmcwnhh,.gqlmcwnhh
*.gr3g,.gr3g
*.GrafGrafel,.GrafGrafel
*.GRANIT,.GRANIT
*.granny,.granny
*.GrAnoSinSa,.GrAnoSinSa
*.graysuit,.graysuit
*.Greed,.Greed
*.grej,.grej
*.GRHAN,.GRHAN
*.grinch,.grinch
*.grod,.grod
*.gropas,.gropas
*.GroundingConductor,.GroundingConductor
*.group,.group
*.grovas,.grovas
*.grovat,.grovat
*.grt,.grt
*.GrujaRS,.GrujaRS
*.grupothermot3k,.grupothermot3k
*.grux,.grux
*.gryphon,.gryphon
*.GSupport*,.GSupport
*.GSupport3,.GSupport3
*.gtsc,.gtsc
*.gtys,.gtys
*.guarded,.guarded
*.GUCCI,.GUCCI
*.gudj,.gudj
*.guer,.guer
*.guesswho,.guesswho
*.gui,.gui
*.gujd,.gujd
*.GURAM,.GURAM
*.gusau,.gusau
*.GusCrypter,.GusCrypter
*.guvara,.guvara
*.gw3w,.gw3w
*.gws,.gws
*.GX40,.GX40
*.gycc,.gycc
*.gyew,.gyew
*.gyga,.gyga
*.gyza,.gyza
*.gzgzqc,.gzgzqc
*.gоod,.gоod
*.h0lyenc,.h0lyenc
*.h0rus13,.h0rus13
*.h3ll,.h3ll
*.h3r,.h3r
*.ha3,.ha3
*.hac,.hac
*.hack,.hack
*.hackdoor,.hackdoor
*.hacked,.hacked
*.hackedbySnea575,.hackedbySnea575
*.hacker,.hacker
*.hacker*.data,.hacker.data
*.hacker_decryption@protonmail.ch,.hacker_decryption@protonmail.ch
*.hacking,.hacking
*.hades666,.hades666
